가가호호 방문하다
고뿔에 걸리다
고뿔이 걸리다
고뿔이 들다
고사를 드리다
고사를 지내다
고생길에 들어서다
고성을 지르다
고성이 오가다
고소를 당하다
고스톱을 치다
고역을 치르다
고요에 잠기다
고이 간직하다
고이 잠들다
고자세로 나가다
고장을 내다
고장이 나다
고정관념을 가지다
고정관념을 깨다
고정관념을 깨부수다
고집을 꺾다
고집을 내다
고집을 버리다
고집을 부리다
고집을 세우다
고집을 피우다
고집이 세다
고집이 있다
고초를 겪다
고초를 당하다
고통에 시달리다
고통을 당하다
고통을 덜다
고통을 받다
고통을 주다
고통을 참다
고함을 지르다
고함을 치다
곡선을 그리다
곤경에 빠뜨리다
곤경에 빠지다
곤경에 처하다
곤궁에 처하다
곤두박질을 치다
곤드레만드레 취하다
곤드레만드레가 되다
곤란에 빠뜨리다
곤란을 겪다
곤란을 당하다
곤란이 닥치다
곤욕을 치르다
곤하게 잠자다
곤히 자다
곧이 듣다
골똘히 생각하다
골무를 끼다
골병이 들다
골치가 아프다
골치가 지끈지끈 아프다
골치를 썩다
골치를 썩이다
골치를 앓다
골프를 치다
곰곰이 생각하다
곰살궂게 굴다
곰살맞게 굴다
곰팡이가 끼다
곰팡이가 나다
곰팡이가 슬다
곰팡이가 피다
공갈을 때리다
공갈을 치다
공감대를 이루다
공감이 가다
공격을 가하다
공격을 감행하다
공격을 당하다
공격을 막다
공격을 받다
공격을 벌이다
공격을 퍼붓다
공격을 펴다
공경을 받다
공공연한 비밀
공과를 따지다
공권력을 투입하다
공금을 유용하다
공금을 횡령하다
공급을 끊다
공급을 받다
공급이 끊기다
공기를 단축하다
공기를 맞추다
공덕을 기리다
공돈이 생기다
공동보조를 취하다
공력을 기울이다
공론에 붙이다
공론이 분분하다
공명심에 불타다
공명심에 사로잡히다
공명심에 차다
공명을 세우다
공문을 띄우다
공문을 보내다
공문이 오다
공물을 바치다
공물을 징수하다
공박을 받다
공방을 벌이다
공방전을 벌이다
공방전을 펼치다
공복을 채우다
공사를 벌이다
공상에 잠기다
공세를 바치다
공세를 받다
공세를 벌이다
공세를 취하다
공세를 퍼붓다
공세를 펴다
공소를 제기하다
공습을 감행하다
공습을 당하다
공습을 받다
공약을 걸다
공약을 내놓다
공을 기리다
공을 들이다
공을 차다
공작을 꾸미다
공적을 기리다
공적을 세우다
공적을 쌓다
공중도덕을 지키다
공중방아를 찧다
공중제비를 돌다
공천을 받다
공청회를 열다
공포심이 일다
공포에 질리다
과거를 보다
과거에 급제하다
과거에 낙방하다
과년한 처녀
과오를 범하다
과욕을 부리다
과장이 심하다
과정을 밟다
과정을 수료하다
과태료를 물다
관계가 깊다
관계가 끊기다
관계가 끊어지다
관계가 있다
관계를 가지다
관계를 끊다
관계를 맺다
관계를 유지하다
관련을 가지다
관련을 짓다
관련이 있다
관례를 깨다
관례를 따르다
관례를 어기다
관례를 지키다
관례에 따르다
관록을 자랑하다
관록이 붙다
관상을 보다
관습을 따르다
관심을 그러당기다
관심을 기울이다
관심을 끊다
관심을 끌다
관심을 나타내다
관심을 돌리다
관심을 두다
관심을 모으다
관심을 보이다
관심을 잃다
관심을 표명하다
관심이 가다
관심이 끌리다
관심이 많다
관심이 쏠리다
관심이 없다
관심이 있다
관심이 적다
관용을 베풀다
관을 짜다
관직에 오르다
관직에서 물러나다
괄호를 치다
광고가 나다
광고를 내다
광을 내다
광채를 띠다
광채를 발하다
광택이 나다
광풍이 불다
괴성을 지르다
괴질이 돌다
괴질이 번지다
굉음을 내다
교감을 이루다
교교히 달빛이 흐르다
교교히 비추다
교단에 서다
교만에 빠지다
교복을 입다
교섭에 나서다
교섭을 벌이다
교습을 받다
교양을 쌓다
교양이 없다
교양이 있다
교육을 받다
교제를 끊다
교직에 몸담다
교태를 부리다
교훈을 받다
교훈을 얻다
교훈을 주다
구경에 나서다
구경을 가다
구경을 오다
구국의 결단
구금을 풀다
구김살이 가다
구김살이 지다
구김살이 펴지다
구더기가 끓다
구도를 잡다
구라를 치다
구름이 끼다
구린내가 나다
구매력이 없다
구매력이 있다
구멍을 메우다
구미가 당기다
구미가 돌다
구미에 맞다
구박을 받다
구박을 주다
구변이 좋다
구별이 가다
구분을 짓다
구색이 맞다
구속을 당하다
구속을 받다
구슬땀을 흘리다
구슬을 꿰다
구슬프게 울다
구실을 만들다
구실을 찾다
구심점을 이루다
구역질이 나다
구역질이 일다
구역질이 치밀다
구완을 받다
구원을 받다
구원을 청하다
구원을 풀다
구인난을 겪다
구인장을 발부받다
구제를 받다
구조를 청하다
구조에 나서다
구태를 벗다
구태를 탈피하다
구태에서 벗어나다
구토가 나다
구호를 외치다
국교가 수립되다
국교를 끊다
국교를 맺다
국기를 게양하다
국밥을 말다
국사를 논하다
국사를 돌보다
국수를 말다
국운을 걸다
국운이 기울다
국운이 쇠퇴하다
국위를 선양하다
국정에 밝다
국정에 어둡다
국정을 맡다
군기가 빠지다
군기를 세우다
군대에 가다
군더더기가 많다
군더더기를 붙이다
군량을 비축하다
군불을 때다
군소리가 없다
군침을 돋우다
군침을 삼키다
군침을 흘리다
군침이 돌다
군화를 벗다
군화를 신다
굳게 맹세하다
굳게 믿다
굳은 결의
굳은 약속
굳은 의지
굳은살이 박이다
굴렁쇠를 굴리다
굴레를 벗어나다
굴욕을 갚다
굶주림에 시달리다
굶주림을 견디다
굿판을 벌이다
궁금증을 풀다
궁금증이 풀리다
궁기가 끼다
궁기가 돌다
궁리를 짜내다
궁세에 빠지다
궁지로 몰다
궁지에 몰리다
궁합을 보다
권고를 받다
권력을 가지다
권력을 잡다
권력을 장악하다
권력을 쥐다
권력을 휘두르다
권리를 행사하다
권리를 행하다
권세를 부리다
권위가 서다
권위가 실추되다
권위가 있다
권위를 잃다
권유를 물리치다
권좌에 오르다
권태에 빠지다
권한을 위임하다
권한을 행사하다
궐련을 피우다
궤도를 벗어나다
궤변을 늘어놓다
귀가 따갑게 듣다
귀가 먹다
귀가 멀다
귀가 멍멍하다
귀가 밝다
귀가 솔깃하다
귀가 어둡다
귀감으로 삼다
귀감이 되다
귀걸이를 달다
귀걸이를 하다
귀고리를 달다
귀띔을 하다
귀를 기울이다
귀를 막다
귀를 먹다
귀신이 들리다
귀싸대기를 때리다
귀싸대기를 올리다
귀양을 가다
귀양을 보내다
귀양을 살다
귀에 삼삼하다
귀에 설다
귀에 익다
귀염을 받다
귀지를 파다
귀티가 나다
귀티가 흐르다
규격에 맞다
규격에 맞추다
규격을 통일하다
규범에 따르다
규약을 맺다
규약을 어기다
규약을 정하다
규약을 지키다
규율에 어긋나다
규율을 깨뜨리다
규율을 어기다
규율을 지키다
규정대로 행하다
규정에 따르다
규정에 어긋나다
규정을 두다
규정을 어기다
규정을 지키다
규제가 풀리다
규제를 받다
규제를 완화하다
규제를 풀다
규칙에 묶이다
규칙에 어긋나다
규칙을 깨뜨리다
규칙을 어기다
규칙을 위반하다
규칙을 지키다
균형감각을 잃다
균형을 깨뜨리다
균형을 깨트리다
균형을 유지하다
균형을 잃다
그네를 뛰다
그네를 타다
그늘이 지다
그득 담다
그득 차다
그릇을 가시다
그리움이 쌓이다
그림을 그리다
그림자가 지다
그물망을 치다
그물에 걸리다
그물코를 뜨다
극구 사양하다
극도로 긴장하다
극도로 흥분하다
극락에 가다
극렬히 반대하다
극명하게 드러나다
극비리에 이루어지다
극비에 부치다
극성을 부리다
극언을 퍼붓다
극에 달하다
극찬을 받다
극한상황에 놓이다
극한에 달하다
극한에 이르다
극형에 처하다
근간을 이루다
근거가 약하다
근거가 희박하다
근거를 대다
근거를 두다
근성이 나쁘다
근성이 악하다
근성이 착하다
근심을 끼치다
근심을 덜다
근심이 없다
근심이 있다
근황을 묻다
글귀가 밝다
글귀가 어둡다
글귀가 트이다
글귀를 따오다
글을 깨우치다
글을 쓰다
글재주가 있다
금박을 입히다
금실이 좋다
금이 가다
금줄을 치다
금지령을 내리다
금품을 살포하다
금품을 털다
급브레이크를 밟다
급소를 때리다
급소를 맞다
급소를 치다
급습을 받다
급유를 받다
급전을 띄우다
급전을 치다
급제동을 걸다
급커브를 틀다
급한 돈
긍지를 가지다
긍지를 느끼다
긍휼히 여기다
기가 꺾이다
기가 막히다
기가 살다
기가 세다
기가 죽다
기가 질리다
기강을 바로잡다
기강을 잡다
기강이 해이해지다
기겁을 하다
기계가 돌아가다
기계를 돌리다
기골이 장대하다
기교를 부리다
기근이 들다
기대를 걸다
기대를 저버리다
기대에 못 미치다
기대에 미치다
기대에 부응하다
기대에 부풀다
기대에 어긋나다
기도를 드리다
기도를 올리다
기량을 닦다
기력을 되찾다
기력이 쇠하다
기력이 약하다
기력이 없다
기력이 왕성하다
기록을 경신하다
기록을 깨다
기록을 남기다
기록을 내다
기록이 깨지다
기를 넣다
기를 죽이다
기를 펴다
기름기가 자르르 흐르다
기름을 짜다
기름이 떨어지다
기미가 끼다
기미가 보이다
기미를 보이다
기밀을 누설하다
기밀을 지키다
기반을 굳히다
기반을 다지다
기반을 닦다
기반을 두다
기반을 쌓다
기반을 잡다
기별을 받다
기별이 가다
기별이 끊기다
기별이 없다
기별이 오다
기복이 심하다
기복이 약하다
기복이 작다
기복이 크다
기분을 내다
기분을 달래다
기분을 풀다
기분이 나쁘다
기분이 맑다
기분이 상하다
기분이 언짢다
기분이 좋다
기분이 째지다
기쁨을 나누다
기쁨이 넘쳐흐르다
기쁨이 넘치다
기사가 나다
기사를 내다
기사를 싣다
기사를 쓰다
기상나팔을 불다
기색을 보이다
기색을 살피다
기선을 잡다
기선을 제압하다
기세를 돋우다
기세를 보이다
기세를 부리다
기세를 올리다
기수를 돌리다
기승을 부리다
기어를 넣다
기억력이 감퇴하다
기억력이 나쁘다
기억력이 떨어지다
기억력이 쇠퇴하다
기억력이 좋다
기억에 남다
기억에 두다
기억을 더듬다
기억을 되살리다
기억을 되새기다
기억을 상실하다
기억을 지우다
기억이 나다
기억이 남다
기억이 생생하다
기온이 급강하하다
기온이 뚝 떨어지다
기와를 굽다
기와를 얹다
기와를 이다
기운을 내다
기운을 돋우다
기운이 감돌다
기운이 나다
기운이 넘치다
기운이 빠지다
기운이 세다
기운이 없다
기운이 있다
기원을 더듬다
기일을 지키다
기자회견을 열다
기저귀를 차다
기저귀를 채우다
기적을 울리다
기적을 행하다
기적이 일어나다
기조를 두다
기조를 이루다
기준에 달하다
기준에 맞추다
기준을 내리다
기준을 올리다
기준을 정하다
기지가 넘치다
기지가 있다
기지개를 켜다
기지개를 펴다
기척이 없다
기초가 약하다
기초가 튼튼하다
기초를 닦다
기초를 두다
기초를 쌓다
기타를 치다
기틀을 닦다
기틀을 잡다
기폭제가 되다
기합을 넣다
기합을 받다
기합이 빠지다
기합이 풀리다
기회를 노리다
기회를 놓치다
기회를 붙잡다
기회를 엿보다
기회를 잡다
긴장을 풀다
긴장이 풀리다
길길이 날뛰다
길길이 뛰다
길눈이 밝다
길을 걷다
길을 닦다
길을 따라가다
길을 떠나다
길을 뚫다
길을 막다
길을 비키다
길을 서두르다
길을 잃다
길을 트다
길이 뚫리다
길이 밀리다
길이 어긋나다
김밥을 말다
김을 매다
김이 나다
김이 모락모락 나다
김이 서리다
김장을 담그다
김치를 담그다
김치전을 부치다
김치찌개를 끓이다
깃발을 올리다
깃털을 곤두세우다
까르르 웃다
까맣게 잊다
까탈을 부리다
깍지를 끼다
깔깔 웃다
깜박 잊다
깜빡 잊다
깜빡 졸다
깜빡이를 켜다
깜짝 놀라다
깜짝깜짝 놀라다
깡다구가 세다
깡충깡충 뛰다
깽판을 부리다
꺼이꺼이 울다
껄껄 웃다
껌을 씹다
껌을 질겅거리다
껌을 질겅질겅 씹다
껍질을 벗기다
껑청 뛰다
껑충 뛰다
꼬까신을 신다
꼬치꼬치 묻다
꼬치꼬치 캐묻다
꼬투리를 잡다
꼭 다물다
꼭 닮다
꼭꼭 숨다
꼴값을 떨다
꼴깍 넘어가다
꼼꼼히 보다
꼼꼼히 살피다
꼼꼼히 읽다
꼼짝없이 갇히다
꼼짝없이 당하다
꼽사리를 끼다
꽁꽁 묶다
꽁꽁 묶이다
꽁꽁 얼다
꽁꽁 얼어붙다
꽃망울이 터지다
꽃을 꺾다
꽃을 꽂다
